Var1,n
aaa,3
aac,6
aace,1
aaci,2
aacn,1
aact,1
aad,6
aae,2
aah,6
aai,6
aaj,1
aak,3
aal,5
aamy,7
aan,6
aao,6
aap,6
aaq,6
aar,5
aas,1
aat,6
aau,6
aaus,5
aav,3
aaw,5
aay,2
aaz,6
aba,1
abaa,2
abab,6
abac,1
abad,6
abai,1
abaj,6
abal,6
abao,1
abau,2
abaz,6
abb,6
abc,6
abd,4
abf,10
abg,5
abh,5
abi,1
abj,6
abk,6
abl,5
abm,5
abn,6
abo,3
abq,9
abr,6
abra,3
abs,5
abt,5
abu,5
abw,1
abx,6
aby,6
abz,6
aca,1
acad,1
acb,5
acc,2
acd,6
ace,1
acf,1
acg,4
ach,5
aci,7
acj,1
ack,3
acl,2
acm,1
acn,1
aco,3
acp,2
acq,3
acr,2
acra,3
acti,1
actn,4
acu,2
acv,7
acw,6
acx,6
acy,4
acz,2
ade,2
adg,2
adi,2
adk,3
adn,3
ado,1
adt,3
aeh,2
aei,7
aep,1
aeq,2
aer,1
aeu,6
aex,3
afa,3
afd,2
afe,2
afg,1
afi,2
afl,8
afn,6
afo,2
afr,2
afs,3
afu,1
afw,2
agc,3
age,3
agn,8
agr,5
agy,2
aha,10
ahd,10
ahe,4
ahh,10
ahi,11
ahj,10
ahl,6
ahm,1
aho,1
ahp,10
ahr,10
ahu,4
ahy,10
ahz,2
ain,3
ais,4
aja,4
ajn,6
ajo,7
ajs,3
aka,2
ala,7
ali,9
all,1
alm,1
aln,3
alt,5
alv,3
amaa,5
amac,5
amad,5
amae,5
amag,5
amai,5
amal,5
amao,5
amb,5
amc,5
amd,4
amed,10
amf,1
amg,5
amh,5
ami,5
amim,2
amk,5
amm,4
amn,4
amo,2
amp,1
amq,3
amr,2
ams,6
amt,10
amu,3
amv,2
amw,1
amx,1
amy,3
amz,4
ana,4
anb,5
anh,1
ank,2
anl,9
anm,9
ano,6
ant,4
anx,11
aoc,2
aoe,8
aoi,4
aol,2
aos,1
apa,3
apac,2
apal,2
apb,1
apc,1
apd,1
ape,1
aper,1
apf,5
